,Unnamed: 0,MPO,SURVEY,SAMPN,DAY,CTFIP,HHVEH,HHSIZ,INCOM,HHWRK,WGTHH,Weight2,IncomeBracket,Autos,Workers,HouseholdSize
0,0,1,2,4000001,7,17043,2,3,6,2,517.4658823,216.649,60k-100k,2,2,3
1,1,1,1,4000064,2,17031,3,3,7,2,163.0728103,242.54972,100k+,3,2,3
2,2,1,1,4000066,2,17031,1,1,3,1,175.6756967,96.58105,35k-60k,1,1,1
3,3,1,2,4000136,1,17031,2,2,5,2,107.01199640000002,92.530365,60k-100k,2,2,2
4,4,1,2,4000154,2,17089,2,1,6,1,242.0904284,56.63644,60k-100k,2,1,1
5,5,1,2,4000158,1,17197,2,2,4,1,265.7702829,81.20456,35k-60k,2,1,2
6,6,1,1,4000160,1,17031,2,2,6,2,129.2565951,98.31679,60k-100k,2,2,2
7,7,1,2,4000176,3,17031,2,2,6,2,189.2740289,106.04711,60k-100k,2,2,2
8,8,1,2,4000193,1,17031,1,1,2,0,172.52229309999996,94.936405,0-35k,1,0,1
9,9,1,1,4000218,1,17043,2,2,7,0,245.6051379,51.50026,100k+,2,0,2
10,10,1,1,4000228,1,17043,2,2,7,1,262.48955240000004,75.72368,100k+,2,1,2
11,11,1,2,4000230,7,17031,2,2,7,2,189.2740289,70.49215,100k+,2,2,2
12,12,1,1,4000239,4,17031,2,2,3,0,185.8008404,144.0979,35k-60k,2,0,2
13,13,1,2,4000260,3,17043,2,2,9,0,245.6051379,72.992775,0-35k,2,0,2
14,14,1,1,4000301,4,17097,3,5,7,5,333.6534976000001,394.9462,100k+,3,3+,4+
15,15,1,1,4000306,5,17197,3,3,6,1,133.1271947,301.56925,60k-100k,3,1,3
16,16,1,1,4000338,1,17031,2,2,7,2,417.1952154,378.34109,100k+,2,2,2
17,17,1,1,4000414,1,17031,1,2,7,2,218.58216580000004,56.01764,100k+,1,2,2
18,18,1,1,4000424,3,17111,2,3,6,2,300.87348849999995,253.26638,60k-100k,2,2,3
19,19,1,2,4000431,1,17097,1,1,5,1,160.4011768,53.98476,60k-100k,1,1,1
20,20,1,2,4000436,7,17031,2,2,6,2,99.98000304,43.62352,60k-100k,2,2,2
21,21,1,2,4000437,2,17111,1,1,3,0,246.1761231,77.519205,35k-60k,1,0,1
22,22,1,1,4000447,3,17043,3,2,5,2,91.94929434,106.28658,60k-100k,3,2,2
23,23,1,2,4000458,3,17031,1,2,7,2,219.2311267,177.61736499999995,100k+,1,2,2
24,24,1,1,4000467,3,17043,2,2,6,2,202.4996827,185.06073,60k-100k,2,2,2
25,25,1,2,4000520,5,17031,1,2,1,0,294.1857924,97.643485,0-35k,1,0,2
26,26,1,2,4000523,5,17031,1,1,7,1,380.5563817,163.538795,100k+,1,1,1
27,27,1,1,4000528,1,17093,4,3,7,2,258.3879941,83.24117,100k+,4+,2,3
