zone09,ring_sector,x,y
1,1,1170293.652,1899558.788
2,1,1170293.652,1899558.788
3,1,1170293.652,1899558.788
4,1,1170293.652,1899558.788
5,1,1170293.652,1899558.788
6,1,1170293.652,1899558.788
7,1,1170293.652,1899558.788
8,1,1170293.652,1899558.788
9,1,1170293.652,1899558.788
10,1,1170293.652,1899558.788
11,1,1170293.652,1899558.788
12,1,1170293.652,1899558.788
13,1,1170293.652,1899558.788
14,1,1170293.652,1899558.788
15,1,1170293.652,1899558.788
16,1,1170293.652,1899558.788
17,1,1170293.652,1899558.788
18,1,1170293.652,1899558.788
19,1,1170293.652,1899558.788
20,1,1170293.652,1899558.788
21,1,1170293.652,1899558.788
22,1,1170293.652,1899558.788
23,1,1170293.652,1899558.788
24,1,1170293.652,1899558.788
25,1,1170293.652,1899558.788
26,1,1170293.652,1899558.788
27,1,1170293.652,1899558.788
28,1,1170293.652,1899558.788
29,1,1170293.652,1899558.788
30,1,1170293.652,1899558.788
31,1,1170293.652,1899558.788
32,1,1170293.652,1899558.788
33,1,1170293.652,1899558.788
34,1,1170293.652,1899558.788
35,1,1170293.652,1899558.788
36,1,1170293.652,1899558.788
37,1,1170293.652,1899558.788
38,1,1170293.652,1899558.788
39,1,1170293.652,1899558.788
40,1,1170293.652,1899558.788
41,1,1170293.652,1899558.788
42,1,1170293.652,1899558.788
43,1,1170293.652,1899558.788
44,1,1170293.652,1899558.788
45,1,1170293.652,1899558.788
46,1,1170293.652,1899558.788
47,1,1170293.652,1899558.788
48,1,1170293.652,1899558.788
49,1,1170293.652,1899558.788
50,1,1170293.652,1899558.788
51,1,1170293.652,1899558.788
52,1,1170293.652,1899558.788
53,1,1170293.652,1899558.788
54,1,1170293.652,1899558.788
55,1,1170293.652,1899558.788
56,1,1170293.652,1899558.788
57,1,1170293.652,1899558.788
58,1,1170293.652,1899558.788
59,1,1170293.652,1899558.788
60,1,1170293.652,1899558.788
61,1,1170293.652,1899558.788
62,1,1170293.652,1899558.788
63,1,1170293.652,1899558.788
64,1,1170293.652,1899558.788
65,1,1170293.652,1899558.788
66,1,1170293.652,1899558.788
67,1,1170293.652,1899558.788
68,1,1170293.652,1899558.788
69,1,1170293.652,1899558.788
70,1,1170293.652,1899558.788
71,1,1170293.652,1899558.788
72,1,1170293.652,1899558.788
73,1,1170293.652,1899558.788
74,1,1170293.652,1899558.788
75,1,1170293.652,1899558.788
76,1,1170293.652,1899558.788
77,1,1170293.652,1899558.788
78,1,1170293.652,1899558.788
79,1,1170293.652,1899558.788
80,1,1170293.652,1899558.788
81,1,1170293.652,1899558.788
82,1,1170293.652,1899558.788
83,1,1170293.652,1899558.788
84,1,1170293.652,1899558.788
85,1,1170293.652,1899558.788
86,1,1170293.652,1899558.788
87,1,1170293.652,1899558.788
88,1,1170293.652,1899558.788
89,2NW,1119770.054,1941550.602
90,2NW,1119770.054,1941550.602
91,2NW,1119770.054,1941550.602
92,2NW,1119770.054,1941550.602
93,2NW,1119770.054,1941550.602
94,2NW,1119770.054,1941550.602
95,2NW,1119770.054,1941550.602
96,2WNW,1124421.729,1917690.482
97,2WNW,1124421.729,1917690.482
98,2NW,1119770.054,1941550.602
99,2NW,1119770.054,1941550.602
100,2NW,1119770.054,1941550.602
101,2NW,1119770.054,1941550.602
102,2NW,1119770.054,1941550.602
103,2NW,1119770.054,1941550.602
104,2WNW,1124421.729,1917690.482
105,2WNW,1124421.729,1917690.482
106,2NW,1119770.054,1941550.602
107,2NW,1119770.054,1941550.602
108,2NW,1119770.054,1941550.602
109,2NW,1119770.054,1941550.602
110,2WNW,1124421.729,1917690.482
111,2NW,1119770.054,1941550.602
112,2N,1151848.229,1945496.844
113,2N,1151848.229,1945496.844
114,2N,1151848.229,1945496.844
115,2N,1151848.229,1945496.844
116,2N,1151848.229,1945496.844
117,2N,1151848.229,1945496.844
118,2N,1151848.229,1945496.844
119,2N,1151848.229,1945496.844
120,2NW,1119770.054,1941550.602
121,2NW,1119770.054,1941550.602
122,2N,1151848.229,1945496.844
123,2N,1151848.229,1945496.844
124,2N,1151848.229,1945496.844
125,2N,1151848.229,1945496.844
126,2NW,1119770.054,1941550.602
127,2NW,1119770.054,1941550.602
128,2NW,1119770.054,1941550.602
129,2NW,1119770.054,1941550.602
130,2N,1151848.229,1945496.844
131,2N,1151848.229,1945496.844
132,2NW,1119770.054,1941550.602
133,2NW,1119770.054,1941550.602
134,2NW,1119770.054,1941550.602
135,2NW,1119770.054,1941550.602
136,2N,1151848.229,1945496.844
137,2N,1151848.229,1945496.844
138,2WNW,1124421.729,1917690.482
139,2NW,1119770.054,1941550.602
140,2NW,1119770.054,1941550.602
141,2NW,1119770.054,1941550.602
142,2NW,1119770.054,1941550.602
143,2N,1151848.229,1945496.844
144,2WNW,1124421.729,1917690.482
145,2WNW,1124421.729,1917690.482
146,2WNW,1124421.729,1917690.482
147,2NW,1119770.054,1941550.602
148,2NW,1119770.054,1941550.602
149,2NW,1119770.054,1941550.602
150,2WNW,1124421.729,1917690.482
151,2WNW,1124421.729,1917690.482
152,2WNW,1124421.729,1917690.482
153,2WNW,1124421.729,1917690.482
154,2NW,1119770.054,1941550.602
155,2NW,1119770.054,1941550.602
156,2N,1151848.229,1945496.844
157,2N,1151848.229,1945496.844
158,2N,1151848.229,1945496.844
159,2N,1151848.229,1945496.844
160,2N,1151848.229,1945496.844
161,2N,1151848.229,1945496.844
162,2N,1151848.229,1945496.844
163,2N,1151848.229,1945496.844
164,2N,1151848.229,1945496.844
165,2N,1151848.229,1945496.844
166,2N,1151848.229,1945496.844
167,2N,1151848.229,1945496.844
168,2N,1151848.229,1945496.844
169,2W,1122400.189,1900784.934
170,2W,1122400.189,1900784.934
171,2WNW,1124421.729,1917690.482
172,2WNW,1124421.729,1917690.482
173,2WNW,1124421.729,1917690.482
174,2W,1122400.189,1900784.934
175,2W,1122400.189,1900784.934
176,2W,1122400.189,1900784.934
177,2W,1122400.189,1900784.934
178,2W,1122400.189,1900784.934
179,2W,1122400.189,1900784.934
180,2W,1122400.189,1900784.934
181,2W,1122400.189,1900784.934
182,2W,1122400.189,1900784.934
183,2W,1122400.189,1900784.934
184,2WSW,1122517.717,1877877.36
185,2WSW,1122517.717,1877877.36
186,2WSW,1122517.717,1877877.36
187,2WSW,1122517.717,1877877.36
188,2WSW,1122517.717,1877877.36
189,2WSW,1122517.717,1877877.36
190,2WSW,1122517.717,1877877.36
191,2SW,1145632.855,1857799.769
192,2SW,1145632.855,1857799.769
193,2SW,1145632.855,1857799.769
194,2SW,1145632.855,1857799.769
195,2S,1180165.893,1831877.911
196,2S,1180165.893,1831877.911
197,2SW,1145632.855,1857799.769
198,2SW,1145632.855,1857799.769
199,2SW,1145632.855,1857799.769
200,2SW,1145632.855,1857799.769
201,2SW,1145632.855,1857799.769
202,2SW,1145632.855,1857799.769
203,2SW,1145632.855,1857799.769
204,2SW,1145632.855,1857799.769
205,2SW,1145632.855,1857799.769
206,2SW,1145632.855,1857799.769
207,2SW,1145632.855,1857799.769
208,2SW,1145632.855,1857799.769
209,2SW,1145632.855,1857799.769
210,2SW,1145632.855,1857799.769
211,2SW,1145632.855,1857799.769
212,2SW,1145632.855,1857799.769
213,2SW,1145632.855,1857799.769
214,2SW,1145632.855,1857799.769
215,2SW,1145632.855,1857799.769
216,2SW,1145632.855,1857799.769
217,2SW,1145632.855,1857799.769
218,2SW,1145632.855,1857799.769
219,2SW,1145632.855,1857799.769
220,2SW,1145632.855,1857799.769
221,2SW,1145632.855,1857799.769
222,2SW,1145632.855,1857799.769
223,2S,1180165.893,1831877.911
224,2S,1180165.893,1831877.911
225,2S,1180165.893,1831877.911
226,2SW,1145632.855,1857799.769
227,2S,1180165.893,1831877.911
228,2S,1180165.893,1831877.911
229,2S,1180165.893,1831877.911
230,2S,1180165.893,1831877.911
231,2S,1180165.893,1831877.911
232,2S,1180165.893,1831877.911
233,2S,1180165.893,1831877.911
234,2S,1180165.893,1831877.911
235,2S,1180165.893,1831877.911
236,2S,1180165.893,1831877.911
237,2S,1180165.893,1831877.911
238,2S,1180165.893,1831877.911
239,2S,1180165.893,1831877.911
240,2S,1180165.893,1831877.911
241,2S,1180165.893,1831877.911
242,2S,1180165.893,1831877.911
243,2S,1180165.893,1831877.911
244,2S,1180165.893,1831877.911
245,2S,1180165.893,1831877.911
246,2S,1180165.893,1831877.911
247,2S,1180165.893,1831877.911
248,2S,1180165.893,1831877.911
249,2S,1180165.893,1831877.911
250,2S,1180165.893,1831877.911
251,2S,1180165.893,1831877.911
252,2S,1180165.893,1831877.911
253,2S,1180165.893,1831877.911
254,2S,1180165.893,1831877.911
255,2S,1180165.893,1831877.911
256,2S,1180165.893,1831877.911
257,2S,1180165.893,1831877.911
258,2SW,1145632.855,1857799.769
259,2S,1180165.893,1831877.911
260,2SW,1145632.855,1857799.769
261,2S,1180165.893,1831877.911
262,2SW,1145632.855,1857799.769
263,2SW,1145632.855,1857799.769
264,2S,1180165.893,1831877.911
265,2S,1180165.893,1831877.911
266,2S,1180165.893,1831877.911
267,2S,1180165.893,1831877.911
268,2S,1180165.893,1831877.911
269,2S,1180165.893,1831877.911
270,2S,1180165.893,1831877.911
271,2S,1180165.893,1831877.911
272,2S,1180165.893,1831877.911
273,2S,1180165.893,1831877.911
274,2S,1180165.893,1831877.911
275,2S,1180165.893,1831877.911
276,2S,1180165.893,1831877.911
277,2S,1180165.893,1831877.911
278,2S,1180165.893,1831877.911
279,2S,1180165.893,1831877.911
280,2S,1180165.893,1831877.911
281,2S,1180165.893,1831877.911
282,2S,1180165.893,1831877.911
283,2S,1180165.893,1831877.911
284,2S,1180165.893,1831877.911
285,2S,1180165.893,1831877.911
286,2S,1180165.893,1831877.911
287,2S,1180165.893,1831877.911
288,2S,1180165.893,1831877.911
289,2S,1180165.893,1831877.911
290,2S,1180165.893,1831877.911
291,2S,1180165.893,1831877.911
292,2S,1180165.893,1831877.911
293,2S,1180165.893,1831877.911
294,2S,1180165.893,1831877.911
295,2S,1180165.893,1831877.911
296,2S,1180165.893,1831877.911
297,2S,1180165.893,1831877.911
298,2S,1180165.893,1831877.911
299,2S,1180165.893,1831877.911
300,2S,1180165.893,1831877.911
301,2S,1180165.893,1831877.911
302,2S,1180165.893,1831877.911
303,2S,1180165.893,1831877.911
304,2S,1180165.893,1831877.911
305,2S,1180165.893,1831877.911
306,2S,1180165.893,1831877.911
307,2S,1180165.893,1831877.911
308,2S,1180165.893,1831877.911
309,2S,1180165.893,1831877.911
310,3NW,1062182.872,1980771.9
311,3NW,1062182.872,1980771.9
312,3NW,1062182.872,1980771.9
313,3NW,1062182.872,1980771.9
314,3NW,1062182.872,1980771.9
315,3NW,1062182.872,1980771.9
316,3WNW,1048540.322,1943185.204
317,3NW,1062182.872,1980771.9
318,3NW,1062182.872,1980771.9
319,3WNW,1048540.322,1943185.204
320,3WNW,1048540.322,1943185.204
321,3WNW,1048540.322,1943185.204
322,3WNW,1048540.322,1943185.204
323,3WNW,1048540.322,1943185.204
324,3WNW,1048540.322,1943185.204
325,3WNW,1048540.322,1943185.204
326,3WNW,1048540.322,1943185.204
327,3WNW,1048540.322,1943185.204
328,3WNW,1048540.322,1943185.204
329,3WNW,1048540.322,1943185.204
330,3WNW,1048540.322,1943185.204
331,3NW,1062182.872,1980771.9
332,3NW,1062182.872,1980771.9
333,3NW,1062182.872,1980771.9
334,3NW,1062182.872,1980771.9
335,3NW,1062182.872,1980771.9
336,3NW,1062182.872,1980771.9
337,3NW,1062182.872,1980771.9
338,3NW,1062182.872,1980771.9
339,3NW,1062182.872,1980771.9
340,3NW,1062182.872,1980771.9
341,3NW,1062182.872,1980771.9
342,3NW,1062182.872,1980771.9
343,3NW,1062182.872,1980771.9
344,3NW,1062182.872,1980771.9
345,3NW,1062182.872,1980771.9
346,3NW,1062182.872,1980771.9
347,3NW,1062182.872,1980771.9
348,3NW,1062182.872,1980771.9
349,3NW,1062182.872,1980771.9
350,3NW,1062182.872,1980771.9
351,3NW,1062182.872,1980771.9
352,3NW,1062182.872,1980771.9
353,3NW,1062182.872,1980771.9
354,3NW,1062182.872,1980771.9
355,3WNW,1048540.322,1943185.204
356,3NW,1062182.872,1980771.9
357,3NW,1062182.872,1980771.9
358,3NW,1062182.872,1980771.9
359,3NW,1062182.872,1980771.9
360,3NW,1062182.872,1980771.9
361,3NW,1062182.872,1980771.9
362,3NW,1062182.872,1980771.9
363,3NW,1062182.872,1980771.9
364,3WNW,1048540.322,1943185.204
365,3WNW,1048540.322,1943185.204
366,3WNW,1048540.322,1943185.204
367,3WNW,1048540.322,1943185.204
368,3WNW,1048540.322,1943185.204
369,3WNW,1048540.322,1943185.204
370,3WNW,1048540.322,1943185.204
371,3WNW,1048540.322,1943185.204
372,3WNW,1048540.322,1943185.204
373,3WNW,1048540.322,1943185.204
374,3WNW,1048540.322,1943185.204
375,3WNW,1048540.322,1943185.204
376,3WNW,1048540.322,1943185.204
377,3WNW,1048540.322,1943185.204
378,3WNW,1048540.322,1943185.204
379,3WNW,1048540.322,1943185.204
380,3WNW,1048540.322,1943185.204
381,3WNW,1048540.322,1943185.204
382,3WNW,1048540.322,1943185.204
383,3WNW,1048540.322,1943185.204
384,3WNW,1048540.322,1943185.204
385,3NW,1062182.872,1980771.9
386,3NW,1062182.872,1980771.9
387,3NW,1062182.872,1980771.9
388,3NW,1062182.872,1980771.9
389,3NW,1062182.872,1980771.9
390,3NW,1062182.872,1980771.9
391,3NW,1062182.872,1980771.9
392,3NW,1062182.872,1980771.9
393,3NW,1062182.872,1980771.9
394,3NW,1062182.872,1980771.9
395,3NW,1062182.872,1980771.9
396,3NW,1062182.872,1980771.9
397,3NW,1062182.872,1980771.9
398,3NW,1062182.872,1980771.9
399,3NW,1062182.872,1980771.9
400,3NW,1062182.872,1980771.9
401,3NW,1062182.872,1980771.9
402,3NW,1062182.872,1980771.9
403,3NW,1062182.872,1980771.9
404,3NW,1062182.872,1980771.9
405,3NW,1062182.872,1980771.9
406,3NW,1062182.872,1980771.9
407,3NW,1062182.872,1980771.9
408,3NW,1062182.872,1980771.9
409,3NW,1062182.872,1980771.9
410,3NW,1062182.872,1980771.9
411,3NW,1062182.872,1980771.9
412,3NW,1062182.872,1980771.9
413,3NW,1062182.872,1980771.9
414,3NW,1062182.872,1980771.9
415,3NW,1062182.872,1980771.9
416,3NW,1062182.872,1980771.9
417,3NW,1062182.872,1980771.9
418,3NW,1062182.872,1980771.9
419,3NW,1062182.872,1980771.9
420,3NW,1062182.872,1980771.9
421,3NW,1062182.872,1980771.9
422,3NW,1062182.872,1980771.9
423,3NW,1062182.872,1980771.9
424,3NW,1062182.872,1980771.9
425,3NW,1062182.872,1980771.9
426,2NW,1119770.054,1941550.602
427,3WNW,1048540.322,1943185.204
428,3WNW,1048540.322,1943185.204
429,3NW,1062182.872,1980771.9
430,3NW,1062182.872,1980771.9
431,2NW,1119770.054,1941550.602
432,3WNW,1048540.322,1943185.204
433,3WNW,1048540.322,1943185.204
434,3NW,1062182.872,1980771.9
435,2NW,1119770.054,1941550.602
436,3WNW,1048540.322,1943185.204
437,3WNW,1048540.322,1943185.204
438,3WNW,1048540.322,1943185.204
439,3WNW,1048540.322,1943185.204
440,2NW,1119770.054,1941550.602
441,3WNW,1048540.322,1943185.204
442,3WNW,1048540.322,1943185.204
443,3WNW,1048540.322,1943185.204
444,3N,1130229.921,1982069.017
445,3N,1130229.921,1982069.017
446,3N,1130229.921,1982069.017
447,3N,1130229.921,1982069.017
448,3N,1130229.921,1982069.017
449,3N,1130229.921,1982069.017
450,3N,1130229.921,1982069.017
451,3N,1130229.921,1982069.017
452,3N,1130229.921,1982069.017
453,3N,1130229.921,1982069.017
454,3N,1130229.921,1982069.017
455,3N,1130229.921,1982069.017
456,3N,1130229.921,1982069.017
457,3N,1130229.921,1982069.017
458,3N,1130229.921,1982069.017
459,3N,1130229.921,1982069.017
460,3N,1130229.921,1982069.017
461,3N,1130229.921,1982069.017
462,3N,1130229.921,1982069.017
463,3N,1130229.921,1982069.017
464,3N,1130229.921,1982069.017
465,3N,1130229.921,1982069.017
466,3N,1130229.921,1982069.017
467,3N,1130229.921,1982069.017
468,3NW,1062182.872,1980771.9
469,3N,1130229.921,1982069.017
470,3N,1130229.921,1982069.017
471,3N,1130229.921,1982069.017
472,3N,1130229.921,1982069.017
473,3N,1130229.921,1982069.017
474,3N,1130229.921,1982069.017
475,3N,1130229.921,1982069.017
476,3N,1130229.921,1982069.017
477,2NW,1119770.054,1941550.602
478,2NW,1119770.054,1941550.602
479,2NW,1119770.054,1941550.602
480,2NW,1119770.054,1941550.602
481,2NW,1119770.054,1941550.602
482,2N,1151848.229,1945496.844
483,2NW,1119770.054,1941550.602
484,2NW,1119770.054,1941550.602
485,2NW,1119770.054,1941550.602
486,2NW,1119770.054,1941550.602
487,2NW,1119770.054,1941550.602
488,2N,1151848.229,1945496.844
489,2NW,1119770.054,1941550.602
490,2NW,1119770.054,1941550.602
491,2NW,1119770.054,1941550.602
492,2NW,1119770.054,1941550.602
493,2NW,1119770.054,1941550.602
494,2NW,1119770.054,1941550.602
495,2NW,1119770.054,1941550.602
496,2NW,1119770.054,1941550.602
497,2NW,1119770.054,1941550.602
498,2NW,1119770.054,1941550.602
499,2NW,1119770.054,1941550.602
500,2NW,1119770.054,1941550.602
501,2NW,1119770.054,1941550.602
502,2NW,1119770.054,1941550.602
503,3N,1130229.921,1982069.017
504,3N,1130229.921,1982069.017
505,3N,1130229.921,1982069.017
506,3N,1130229.921,1982069.017
507,3N,1130229.921,1982069.017
508,3N,1130229.921,1982069.017
509,3N,1130229.921,1982069.017
510,3N,1130229.921,1982069.017
511,3N,1130229.921,1982069.017
512,3N,1130229.921,1982069.017
513,3N,1130229.921,1982069.017
514,3N,1130229.921,1982069.017
515,3N,1130229.921,1982069.017
516,3N,1130229.921,1982069.017
517,3N,1130229.921,1982069.017
518,3N,1130229.921,1982069.017
519,3N,1130229.921,1982069.017
520,2N,1151848.229,1945496.844
521,2N,1151848.229,1945496.844
522,2N,1151848.229,1945496.844
523,2N,1151848.229,1945496.844
524,2N,1151848.229,1945496.844
525,2N,1151848.229,1945496.844
526,2N,1151848.229,1945496.844
527,2N,1151848.229,1945496.844
528,2N,1151848.229,1945496.844
529,2N,1151848.229,1945496.844
530,2N,1151848.229,1945496.844
531,2N,1151848.229,1945496.844
532,2N,1151848.229,1945496.844
533,2N,1151848.229,1945496.844
534,2N,1151848.229,1945496.844
535,2N,1151848.229,1945496.844
536,2N,1151848.229,1945496.844
537,2N,1151848.229,1945496.844
538,2NW,1119770.054,1941550.602
539,2N,1151848.229,1945496.844
540,2N,1151848.229,1945496.844
541,2N,1151848.229,1945496.844
542,2N,1151848.229,1945496.844
543,2N,1151848.229,1945496.844
544,2N,1151848.229,1945496.844
545,2N,1151848.229,1945496.844
546,2N,1151848.229,1945496.844
547,2N,1151848.229,1945496.844
548,2WNW,1124421.729,1917690.482
549,2NW,1119770.054,1941550.602
550,2WNW,1124421.729,1917690.482
551,2WNW,1124421.729,1917690.482
552,2WNW,1124421.729,1917690.482
553,2W,1122400.189,1900784.934
554,2WNW,1124421.729,1917690.482
555,2WNW,1124421.729,1917690.482
556,2WNW,1124421.729,1917690.482
557,2WNW,1124421.729,1917690.482
558,2WNW,1124421.729,1917690.482
559,2W,1122400.189,1900784.934
560,2W,1122400.189,1900784.934
561,2W,1122400.189,1900784.934
562,2W,1122400.189,1900784.934
563,2WNW,1124421.729,1917690.482
564,2WNW,1124421.729,1917690.482
565,2W,1122400.189,1900784.934
566,2W,1122400.189,1900784.934
567,2W,1122400.189,1900784.934
568,2W,1122400.189,1900784.934
569,2W,1122400.189,1900784.934
570,2W,1122400.189,1900784.934
571,2W,1122400.189,1900784.934
572,2W,1122400.189,1900784.934
573,2W,1122400.189,1900784.934
574,2W,1122400.189,1900784.934
575,2W,1122400.189,1900784.934
576,2W,1122400.189,1900784.934
577,2W,1122400.189,1900784.934
578,2W,1122400.189,1900784.934
579,2W,1122400.189,1900784.934
580,2W,1122400.189,1900784.934
581,2W,1122400.189,1900784.934
582,2W,1122400.189,1900784.934
583,2W,1122400.189,1900784.934
584,2W,1122400.189,1900784.934
585,2W,1122400.189,1900784.934
586,2W,1122400.189,1900784.934
587,2W,1122400.189,1900784.934
588,2W,1122400.189,1900784.934
589,2WSW,1122517.717,1877877.36
590,2WSW,1122517.717,1877877.36
591,2WSW,1122517.717,1877877.36
592,2WSW,1122517.717,1877877.36
593,2WSW,1122517.717,1877877.36
594,2WSW,1122517.717,1877877.36
595,2WSW,1122517.717,1877877.36
596,2WSW,1122517.717,1877877.36
597,2WSW,1122517.717,1877877.36
598,2WSW,1122517.717,1877877.36
599,2WSW,1122517.717,1877877.36
600,2WSW,1122517.717,1877877.36
601,2W,1122400.189,1900784.934
602,2W,1122400.189,1900784.934
603,2W,1122400.189,1900784.934
604,2W,1122400.189,1900784.934
605,2WSW,1122517.717,1877877.36
606,2WSW,1122517.717,1877877.36
607,2WSW,1122517.717,1877877.36
608,2WSW,1122517.717,1877877.36
609,2WSW,1122517.717,1877877.36
610,2WSW,1122517.717,1877877.36
611,2WSW,1122517.717,1877877.36
612,2WSW,1122517.717,1877877.36
613,2WSW,1122517.717,1877877.36
614,2WSW,1122517.717,1877877.36
615,2WSW,1122517.717,1877877.36
616,2WSW,1122517.717,1877877.36
617,2WSW,1122517.717,1877877.36
618,2WSW,1122517.717,1877877.36
619,2WSW,1122517.717,1877877.36
620,2WSW,1122517.717,1877877.36
621,2WSW,1122517.717,1877877.36
622,2WSW,1122517.717,1877877.36
623,2SW,1145632.855,1857799.769
624,2SW,1145632.855,1857799.769
625,2WSW,1122517.717,1877877.36
626,2WSW,1122517.717,1877877.36
627,2WSW,1122517.717,1877877.36
628,2WSW,1122517.717,1877877.36
629,2SW,1145632.855,1857799.769
630,2SW,1145632.855,1857799.769
631,2WSW,1122517.717,1877877.36
632,2WSW,1122517.717,1877877.36
633,2WSW,1122517.717,1877877.36
634,2WSW,1122517.717,1877877.36
635,2SW,1145632.855,1857799.769
636,2SW,1145632.855,1857799.769
637,3SW,1113572.844,1815165.624
638,3SW,1113572.844,1815165.624
639,3SW,1113572.844,1815165.624
640,3SW,1113572.844,1815165.624
641,3SW,1113572.844,1815165.624
642,2SW,1145632.855,1857799.769
643,3SW,1113572.844,1815165.624
644,3SW,1113572.844,1815165.624
645,3SW,1113572.844,1815165.624
646,3SW,1113572.844,1815165.624
647,3SW,1113572.844,1815165.624
648,2SW,1145632.855,1857799.769
649,2WSW,1122517.717,1877877.36
650,2SW,1145632.855,1857799.769
651,2SW,1145632.855,1857799.769
652,2SW,1145632.855,1857799.769
653,2SW,1145632.855,1857799.769
654,2SW,1145632.855,1857799.769
655,2SW,1145632.855,1857799.769
656,2SW,1145632.855,1857799.769
657,2SW,1145632.855,1857799.769
658,2SW,1145632.855,1857799.769
659,2SW,1145632.855,1857799.769
660,2SW,1145632.855,1857799.769
661,3SW,1113572.844,1815165.624
662,3SW,1113572.844,1815165.624
663,3SW,1113572.844,1815165.624
664,3SW,1113572.844,1815165.624
665,3SW,1113572.844,1815165.624
666,3SW,1113572.844,1815165.624
667,3SW,1113572.844,1815165.624
668,3SW,1113572.844,1815165.624
669,3SW,1113572.844,1815165.624
670,3SW,1113572.844,1815165.624
671,3SW,1113572.844,1815165.624
672,3SW,1113572.844,1815165.624
673,3SW,1113572.844,1815165.624
674,3SW,1113572.844,1815165.624
675,3SW,1113572.844,1815165.624
676,3SW,1113572.844,1815165.624
677,3SW,1113572.844,1815165.624
678,3SW,1113572.844,1815165.624
679,3SW,1113572.844,1815165.624
680,2SW,1145632.855,1857799.769
681,2SW,1145632.855,1857799.769
682,2SW,1145632.855,1857799.769
683,2SW,1145632.855,1857799.769
684,2S,1180165.893,1831877.911
685,3SW,1113572.844,1815165.624
686,2SW,1145632.855,1857799.769
687,2SW,1145632.855,1857799.769
688,2SW,1145632.855,1857799.769
689,3SW,1113572.844,1815165.624
690,3SW,1113572.844,1815165.624
691,3SW,1113572.844,1815165.624
692,2SW,1145632.855,1857799.769
693,3SW,1113572.844,1815165.624
694,3SW,1113572.844,1815165.624
695,3SW,1113572.844,1815165.624
