FID,rs2,Shape_Leng,Shape_Area,ORIG_FID,POINT_X,POINT_Y
0,1,117471.896280000000000,621901075.445999980000000,1,1170293.652359999900000,1899558.787590000100000
1,2N,202568.471423000010000,1534907027.880000100000000,2,1151848.229270000000000,1945496.843780000000000
2,2NW,252506.051599000000000,1906490887.040000000000000,3,1119770.054370000000000,1941550.601950000000000
3,2S,290937.689223999970000,3644627840.250000000000000,4,1180165.893489999900000,1831877.910990000000000
4,2SW,244066.998962000010000,1806995771.609999900000000,5,1145632.855380000100000,1857799.769249999900000
5,2W,190956.673916000000000,1263052187.730000000000000,6,1122400.188890000100000,1900784.933630000100000
6,2WNW,179217.800419000010000,755821716.355999950000000,7,1124421.729360000000000,1917690.481639999900000
7,2WSW,201440.961485000010000,1297477391.339999900000000,8,1122517.717370000000000,1877877.359900000000000
8,3IN,395696.249094999980000,6035735131.159999800000000,9,1239623.575329999900000,1781577.283499999900000
9,3N,165809.170766000000000,1350788622.180000100000000,10,1130229.920979999900000,1982069.016550000100000
10,3NW,308414.561181999980000,3370530233.739999800000000,11,1062182.871959999900000,1980771.900050000100000
11,3S,382286.060516999980000,7143633049.989999800000000,12,1171623.497870000100000,1738183.679490000000000
12,3SW,384513.121908999980000,4959692757.829999900000000,13,1113572.843919999900000,1815165.623590000000000
13,3W,293249.376072000010000,3435447416.980000000000000,14,1050196.297880000000000,1901899.671600000000000
14,3WNW,307441.669937999980000,3737786868.090000200000000,15,1048540.322030000000000,1943185.204260000000000
15,3WSW,337580.058128000000000,5801822406.109999700000000,16,1044995.495849999900000,1853120.229460000100000
16,4N,318538.645052000010000,2621387255.989999800000000,17,1114007.467340000000000,2060542.103780000000000
17,4NW,692109.094303000020000,27558992009.599998000000000,18,994470.331588999950000,2060855.232240000000000
18,4SW,634136.677993000020000,18133965366.099998000000000,19,1059835.479319999900000,1737488.564470000100000
19,4W,311938.755469000030000,5540569762.699999800000000,20,955533.610214999990000,1906376.362040000000000
20,4WNW,321799.745087000020000,5795734856.189999600000000,21,959831.582666000000000,1967918.627709999900000
21,4WSW,462877.546419000020000,11281827119.700001000000000,22,955955.477692999990000,1815243.629920000000000
22,XIL,2189964.371350000100000,112878356433.000000000000000,23,823877.561957000060000,1870395.896140000100000
23,XIN,971373.561069000050000,37090156312.500000000000000,24,1353281.313310000100000,1752452.604370000100000
24,XWI,797264.939643000020000,33343182191.000000000000000,25,996296.657514999970000,2186680.367089999800000
